행정기관,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시  ,"9,495,722","9,495,722","617,730","775,584","1,445,390","1,456,302","1,497,358","1,487,749","1,218,404","687,083","271,000","38,083","1,039"
서울특별시 종로구 ,"143,769","143,769","7,436","10,869","23,113","19,590","21,406","24,317","18,905","11,643","5,603",862,25
서울특별시 중구 ,"120,915","120,915","6,721","6,688","18,346","19,747","17,395","19,875","16,783","10,136","4,504",704,16
서울특별시 용산구 ,"220,114","220,114","13,366","15,383","32,990","37,376","34,173","35,100","26,937","15,777","7,793","1,188",31
서울특별시 성동구 ,"287,818","287,818","20,285","19,576","44,544","48,234","44,094","46,034","35,655","19,982","8,342","1,042",30
서울특별시 광진구 ,"340,937","340,937","19,309","25,682","62,452","55,385","51,453","53,330","41,673","21,807","8,671","1,139",36
서울특별시 동대문구 ,"335,455","335,455","20,529","23,410","55,715","49,416","49,375","51,810","45,250","27,396","11,149","1,356",49
서울특별시 중랑구 ,"389,140","389,140","22,874","26,533","55,754","57,459","56,835","68,088","57,547","30,979","11,556","1,480",35
서울특별시 성북구 ,"430,114","430,114","28,827","37,003","66,262","59,360","68,648","67,877","53,747","32,678","13,820","1,853",39
서울특별시 강북구 ,"302,107","302,107","15,525","21,830","42,461","38,081","45,609","51,447","45,008","29,494","11,279","1,347",26
서울특별시 도봉구 ,"320,106","320,106","18,476","25,386","42,898","40,310","47,575","55,896","49,144","27,379","11,435","1,562",45
서울특별시 노원구 ,"516,239","516,239","32,821","52,731","72,450","63,894","84,858","86,456","67,192","37,090","16,289","2,398",60
서울특별시 은평구 ,"471,279","471,279","29,357","38,388","66,463","67,593","75,199","75,472","63,142","38,182","15,552","1,893",38
서울특별시 서대문구 ,"305,077","305,077","19,998","23,395","49,569","44,551","46,311","47,916","37,456","23,506","10,919","1,411",45
서울특별시 마포구 ,"364,039","364,039","24,652","28,100","61,038","63,694","59,706","52,734","38,431","23,442","10,758","1,440",44
서울특별시 양천구 ,"448,313","448,313","31,211","50,506","59,205","57,084","77,721","75,317","56,847","28,213","10,578","1,593",38
서울특별시 강서구 ,"572,465","572,465","39,013","44,429","86,214","97,990","89,504","84,491","75,475","38,364","14,583","2,348",54
서울특별시 구로구 ,"398,980","398,980","27,829","29,863","55,029","62,444","62,201","62,070","55,367","31,419","11,323","1,400",35
서울특별시 금천구 ,"227,877","227,877","12,391","14,516","36,921","35,145","32,184","39,289","32,634","17,663","6,316",790,28
서울특별시 영등포구 ,"373,007","373,007","25,772","24,130","58,780","68,817","55,392","55,444","45,827","26,450","10,984","1,380",31
서울특별시 동작구 ,"384,752","384,752","24,323","27,583","65,820","61,538","57,811","57,022","48,195","29,181","11,628","1,604",47
서울특별시 관악구 ,"486,608","486,608","22,087","28,269","108,098","85,892","66,836","66,364","58,171","36,470","12,822","1,553",46
서울특별시 서초구 ,"416,498","416,498","33,500","45,089","54,369","62,215","75,629","61,706","46,223","26,632","9,459","1,632",44
서울특별시 강남구 ,"526,655","526,655","36,365","58,661","72,557","79,855","96,737","78,225","57,523","33,149","11,465","2,048",70
서울특별시 송파구 ,"658,262","658,262","50,319","58,684","93,299","109,036","107,536","100,591","82,765","39,801","13,830","2,332",69
서울특별시 강동구 ,"455,196","455,196","34,744","38,880","61,043","71,596","73,170","70,878","62,507","30,250","10,342","1,728",58
